actorName,movieTitle,createdYear,awardStatus
Adam Driver,Blackkklansman,2018,Nominee
Adam Driver,Marriage Story,2019,Nominee
Agnes Moorehead,"Hush... Hush, Sweet Charlotte",1964,Nominee
Agnes Moorehead,Johnny Belinda,1948,Nominee
Agnes Moorehead,Mrs. Parkington,1944,Nominee
Agnes Moorehead,The Magnificent Ambersons,1942,Nominee
Akim Tamiroff,For Whom The Bell Tolls,1943,Nominee
Akim Tamiroff,The General Died At Dawn,1936,Nominee
Al Pacino,...And Justice For All,1979,Nominee
Al Pacino,Dick Tracy,1990,Nominee
Al Pacino,Dog Day Afternoon,1975,Nominee
Al Pacino,Glengarry Glen Ross,1992,Nominee
Al Pacino,Scent Of A Woman,1992,Winner
Al Pacino,Serpico,1973,Nominee
Al Pacino,The Godfather,1972,Nominee
Al Pacino,The Godfather Part Ii,1974,Nominee
Al Pacino,The Irishman,2019,Nominee
Alan Arkin,Argo,2012,Nominee
Alan Arkin,Little Miss Sunshine,2006,Winner
Alan Arkin,The Heart Is A Lonely Hunter,1968,Nominee
Alan Arkin,"The Russians Are Coming, The Russians Are Coming",1966,Nominee
Albert Finney,Erin Brockovich,2000,Nominee
Albert Finney,Murder On The Orient Express,1974,Nominee
Albert Finney,The Dresser,1983,Nominee
Albert Finney,Tom Jones,1963,Nominee
Albert Finney,Under The Volcano,1984,Nominee
Alec Guinness,Little Dorrit,1988,Nominee
Alec Guinness,Star Wars,1977,Nominee
Alec Guinness,The Bridge On The River Kwai,1957,Winner
Alec Guinness,The Lavender Hill Mob,1951,Nominee
Alice Brady,In Old Chicago,1938,Nominee
Alice Brady,My Man Godfrey,1936,Nominee
Amy Adams,American Hustle,2013,Nominee
Amy Adams,Doubt,2008,Nominee
Amy Adams,Junebug,2005,Nominee
Amy Adams,The Fighter,2010,Nominee
Amy Adams,The Master,2012,Nominee
Amy Adams,Vice,2018,Nominee
Andrew Garfield,Hacksaw Ridge,2016,Nominee
Andrew Garfield,"Tick, Tick... Boom!",2021,Nominee
Angela Lansbury,Gaslight,1944,Nominee
Angela Lansbury,The Manchurian Candidate,1962,Nominee
Angela Lansbury,The Picture Of Dorian Gray,1945,Nominee
Angelina Jolie,Changeling,2008,Nominee
Angelina Jolie,"Girl, Interrupted",1999,Nominee
Anjelica Huston,"Enemies, A Love Story",1989,Nominee
Anjelica Huston,Prizzi'S Honor,1985,Winner
Anjelica Huston,The Grifters,1990,Nominee
Ann-Margret,Carnal Knowledge,1971,Nominee
Ann-Margret,Tommy,1975,Nominee
Anna Magnani,The Rose Tattoo,1955,Nominee
Anna Magnani,Wild Is The Wind,1957,Nominee
Anne Bancroft,Agnes Of God,1985,Nominee
Anne Bancroft,The Graduate,1967,Nominee
Anne Bancroft,The Miracle Worker,1962,Winner
Anne Bancroft,The Pumpkin Eater,1964,Nominee
Anne Bancroft,The Turning Point,1977,Nominee
Anne Baxter,All About Eve,1950,Nominee
Anne Baxter,The Razor'S Edge,1946,Nominee
Anne Hathaway,Les Misérables,2012,Nominee
Anne Hathaway,Rachel Getting Married,2009,Nominee
Anne Revere,Gentleman'S Agreement,1947,Nominee
Anne Revere,National Velvet,1944,Winner
Anne Revere,The Song Of Bernadette,1943,Nominee
Annette Bening,American Beauty,1999,Nominee
Annette Bening,Being Julia,2004,Nominee
Annette Bening,The Grifters,1990,Nominee
Annette Bening,The Kids Are All Right,2010,Nominee
Anthony Hopkins,Amistad,1997,Nominee
Anthony Hopkins,Nixon,1995,Nominee
Anthony Hopkins,The Father,2020,Winner
Anthony Hopkins,The Remains Of The Day,1993,Nominee
Anthony Hopkins,The Silence Of The Lambs,1991,Winner
Anthony Hopkins,The Two Popes,2019,Nominee
Anthony Quinn,Lust For Life,1956,Winner
Anthony Quinn,Viva Zapata!,1952,Winner
Anthony Quinn,Wild Is The Wind,1957,Nominee
Anthony Quinn,Zorba The Greek,1964,Nominee
Arthur Kennedy,Bright Victory,1951,Nominee
Arthur Kennedy,Champion,1949,Nominee
Arthur Kennedy,Peyton Place,1957,Nominee
Arthur Kennedy,Some Came Running,1958,Nominee
Arthur Kennedy,Trial,1955,Nominee
Arthur O'Connell,Anatomy Of A Murder,1959,Nominee
Arthur O'Connell,Picnic,1955,Nominee
Audrey Hepburn,Breakfast At Tiffany'S,1961,Nominee
Audrey Hepburn,Roman Holiday,1953,Winner
Audrey Hepburn,Sabrina,1954,Nominee
Audrey Hepburn,The Nun'S Story,1959,Nominee
Audrey Hepburn,Wait Until Dark,1967,Nominee
Barbara Stanwyck,Ball Of Fire,1941,Nominee
Barbara Stanwyck,Double Indemnity,1944,Nominee
Barbara Stanwyck,"Sorry, Wrong Number",1948,Nominee
Barbara Stanwyck,Stella Dallas,1937,Nominee
Barbra Streisand,Funny Girl,1968,Nominee
Barbra Streisand,The Way We Were,1973,Nominee
Basil Rathbone,If I Were King,1938,Nominee
Basil Rathbone,Romeo And Juliet,1936,Nominee
Ben Kingsley,Bugsy,1991,Nominee
Ben Kingsley,Gandhi,1982,Winner
Ben Kingsley,House Of Sand And Fog,2003,Nominee
Ben Kingsley,Sexy Beast,2001,Nominee
Benedict Cumberbatch,The Imitation Game,2014,Nominee
Benedict Cumberbatch,The Power Of The Dog,2021,Nominee
Benicio del Toro,21 Grams,2003,Nominee
Benicio del Toro,Traffic,2000,Nominee
Bette Davis,All About Eve,1950,Nominee
Bette Davis,Dangerous,1935,Winner
Bette Davis,Dark Victory,1939,Nominee
Bette Davis,Jezebel,1938,Winner
Bette Davis,Mr. Skeffington,1944,Nominee
Bette Davis,The Letter,1940,Nominee
Bette Davis,The Little Foxes,1941,Nominee
Bette Davis,The Star,1952,Nominee
Bette Davis,Whatever Happened To Baby Jane?,1962,Nominee
Bette Midler,For The Boys,1991,Nominee
Bette Midler,The Rose,1979,Nominee
Beulah Bondi,Of Human Hearts,1938,Nominee
Beulah Bondi,The Gorgeous Hussy,1936,Nominee
Billy Bob Thornton,A Simple Plan,1998,Nominee
Billy Bob Thornton,Sling Blade,1996,Nominee
Bing Crosby,Going My Way,1944,Winner
Bing Crosby,The Bells Of St. Mary'S,1945,Nominee
Bing Crosby,The Country Girl,1954,Nominee
Brad Pitt,12 Monkeys,1995,Nominee
Brad Pitt,Moneyball,2011,Nominee
Brad Pitt,Once Upon A Time In Hollywood,2019,Winner
Brad Pitt,The Curious Case Of Benjamin Button,2008,Nominee
Bradley Cooper,A Star Is Born,2018,Nominee
Bradley Cooper,American Hustle,2013,Nominee
Bradley Cooper,American Sniper,2014,Nominee
Bradley Cooper,Silver Linings Playbook,2012,Nominee
Brenda Blethyn,Little Voice,1998,Nominee
Brenda Blethyn,Secrets & Lies,1996,Nominee
Bruce Dern,Coming Home,1978,Nominee
Bruce Dern,Nebraska,2013,Nominee
Burgess Meredith,Rocky,1976,Nominee
Burgess Meredith,The Day Of The Locust,1975,Nominee
Burt Lancaster,Atlantic City,1980,Nominee
Burt Lancaster,Birdman Of Alcatraz,1962,Nominee
Burt Lancaster,Elmer Gantry,1960,Winner
Burt Lancaster,From Here To Eternity,1953,Nominee
Carey Mulligan,An Education,2009,Nominee
Carey Mulligan,Promising Young Woman,2020,Nominee
Cary Grant,None But The Lonely Heart,1944,Nominee
Cary Grant,Penny Serenade,1941,Nominee
Casey Affleck,Manchester By The Sea,2016,Nominee
Casey Affleck,The Assassination Of Jesse James By The Coward Robert Ford,2007,Nominee
Cate Blanchett,Blue Jasmine,2013,Winner
Cate Blanchett,Carol,2015,Nominee
Cate Blanchett,Elizabeth,1998,Nominee
Cate Blanchett,Elizabeth: The Golden Age,2007,Nominee
Cate Blanchett,I'M Not There,2007,Nominee
Cate Blanchett,Notes On A Scandal,2006,Nominee
Cate Blanchett,The Aviator,2004,Winner
Catherine Keener,Being John Malkovich,1999,Nominee
Catherine Keener,Capote,2005,Nominee
Cecil Kellaway,Guess Who'S Coming To Dinner,1967,Nominee
Cecil Kellaway,The Luck Of The Irish,1948,Nominee
Celeste Holm,All About Eve,1950,Nominee
Celeste Holm,Come To The Stable,1949,Nominee
Celeste Holm,Gentleman'S Agreement,1947,Winner
Charles Bickford,Farmer'S Daughter,1947,Nominee
Charles Bickford,Johnny Belinda,1948,Nominee
Charles Bickford,The Song Of Bernadette,1943,Nominee
Charles Boyer,Algiers,1938,Nominee
Charles Boyer,Conquest,1937,Nominee
Charles Boyer,Fanny,1961,Nominee
Charles Boyer,Gaslight,1944,Nominee
Charles Coburn,The Devil And Miss Jones,1941,Nominee
Charles Coburn,The Green Years,1946,Nominee
Charles Coburn,The More The Merrier,1943,Winner
Charles Durning,The Best Little Whorehouse In Texas,1982,Nominee
Charles Durning,To Be Or Not To Be,1983,Nominee
Charles Laughton,Mutiny On The Bounty,1935,Nominee
Charles Laughton,The Private Life Of Henry Viii,1933,Winner
Charles Laughton,Witness For The Prosecution,1957,Nominee
Charlie Chaplin,The Circus,1928,Nominee
Charlie Chaplin,The Great Dictator,1940,Nominee
Charlize Theron,Bombshell,2019,Nominee
Charlize Theron,Monster,2003,Winner
Charlize Theron,North Country,2005,Nominee
Cher,Moonstruck,1987,Nominee
Cher,Silkwood,1983,Nominee
Christian Bale,American Hustle,2013,Nominee
Christian Bale,The Big Short,2015,Nominee
Christian Bale,The Fighter,2010,Winner
Christian Bale,Vice,2018,Nominee
Christoph Waltz,Django Unchained,2012,Winner
Christoph Waltz,Inglourious Basterds,2009,Winner
Christopher Plummer,All The Money In The World,2017,Nominee
Christopher Plummer,Beginners,2011,Winner
Christopher Plummer,The Last Station,2009,Nominee
Christopher Walken,Catch Me If You Can,2002,Nominee
Christopher Walken,The Deer Hunter,1978,Nominee
Claire Trevor,Dead End,1937,Nominee
Claire Trevor,Key Largo,1948,Winner
Claire Trevor,The High And The Mighty,1954,Nominee
Clark Gable,Gone With The Wind,1939,Nominee
Clark Gable,It Happened One Night,1934,Winner
Clark Gable,Mutiny On The Bounty,1935,Nominee
Claude Rains,Casablanca,1943,Nominee
Claude Rains,Mr. Skeffington,1944,Nominee
Claude Rains,Mr. Smith Goes To Washington,1939,Nominee
Claude Rains,Notorious,1946,Nominee
Claudette Colbert,It Happened One Night,1934,Winner
Claudette Colbert,Private Worlds,1935,Nominee
Claudette Colbert,Since You Went Away,1944,Nominee
Clifton Webb,Laura,1944,Nominee
Clifton Webb,Sitting Pretty,1948,Nominee
Clifton Webb,The Razor'S Edge,1946,Nominee
Clint Eastwood,Million Dollar Baby,2004,Nominee
Clint Eastwood,Unforgiven,1992,Nominee
Colin Firth,A Single Man,2009,Nominee
Colin Firth,The King'S Speech,2010,Nominee
Daniel Day-Lewis,Gangs Of New York,2002,Nominee
Daniel Day-Lewis,In The Name Of The Father,1993,Nominee
Daniel Day-Lewis,Lincoln,2012,Winner
Daniel Day-Lewis,My Left Foot,1989,Winner
Daniel Day-Lewis,Phantom Thread,2017,Nominee
Daniel Day-Lewis,There Will Be Blood,2007,Winner
Daniel Kaluuya,Get Out,2017,Nominee
Daniel Kaluuya,Judas And The Black Messiah,2020,Nominee
Deborah Kerr,"Edward, My Son",1949,Nominee
Deborah Kerr,From Here To Eternity,1953,Nominee
Deborah Kerr,"Heaven Knows, Mr Allison",1957,Nominee
Deborah Kerr,Separate Tables,1958,Nominee
Deborah Kerr,The King And I,1956,Nominee
Deborah Kerr,The Sundowners,1960,Nominee
Debra Winger,An Officer And A Gentleman,1982,Nominee
Debra Winger,Shadowlands,1993,Nominee
Debra Winger,Terms Of Endearment,1983,Nominee
Denzel Washington,Cry Freedom,1987,Nominee
Denzel Washington,Fences,2016,Nominee
Denzel Washington,Flight,2012,Nominee
Denzel Washington,Glory,1989,Winner
Denzel Washington,Malcolm X,1992,Nominee
Denzel Washington,"Roman J. Israel, Esq.",2017,Nominee
Denzel Washington,The Hurricane,1999,Nominee
Denzel Washington,The Tragedy Of Macbeth,2021,Nominee
Denzel Washington,Training Day,2001,Winner
Diane Keaton,Annie Hall,1977,Winner
Diane Keaton,Marvin'S Room,1996,Nominee
Diane Keaton,Reds,1981,Nominee
Diane Keaton,Something'S Gotta Give,2003,Nominee
Diane Ladd,Alice Doesn'T Live Here Anymore,1974,Nominee
Diane Ladd,Rambling Rose,1991,Nominee
Diane Ladd,Wild At Heart,1990,Nominee
Dianne Wiest,Bullets Over Broadway,1994,Winner
Dianne Wiest,Hannah And Her Sisters,1986,Winner
Dianne Wiest,Parenthood,1989,Nominee
Djimon Hounsou,Blood Diamond,2006,Nominee
Djimon Hounsou,In America,2003,Nominee
Dustin Hoffman,Kramer Vs. Kramer,1979,Winner
Dustin Hoffman,Lenny,1974,Nominee
Dustin Hoffman,Midnight Cowboy,1969,Nominee
Dustin Hoffman,Rain Man,1988,Winner
Dustin Hoffman,The Graduate,1967,Nominee
Dustin Hoffman,Tootsie,1982,Nominee
Dustin Hoffman,Wag The Dog,1997,Nominee
Dyan Cannon,Bob & Carol & Ted & Alice,1969,Nominee
Dyan Cannon,Heaven Can Wait,1978,Nominee
Ed Harris,Apollo 13,1995,Nominee
Ed Harris,Pollock,2000,Nominee
Ed Harris,The Hours,2002,Nominee
Ed Harris,The Truman Show,1998,Nominee
Eddie Albert,Roman Holiday,1953,Nominee
Eddie Albert,The Heartbreak Kid,1972,Nominee
Eddie Redmayne,The Danish Girl,2015,Nominee
Eddie Redmayne,The Theory Of Everything,2014,Nominee
Edith Evans,The Chalk Garden,1964,Nominee
Edith Evans,The Whisperers,1967,Nominee
Edith Evans,Tom Jones,1963,Nominee
Edmond O'Brien,Seven Days In May,1964,Nominee
Edmond O'Brien,The Barefoot Contessa,1954,Nominee
Edmund Gwenn,Miracle On 34Th Street,1947,Nominee
Edmund Gwenn,Mister 880,1950,Nominee
Edward Norton,American History X,1998,Nominee
Edward Norton,Birdman,2014,Nominee
Edward Norton,Primal Fear,1996,Nominee
Eileen Heckart,Butterflies Are Free,1972,Nominee
Eileen Heckart,The Bad Seed,1956,Nominee
Eleanor Parker,Caged,1950,Nominee
Eleanor Parker,Detective Story,1951,Nominee
Eleanor Parker,Interrupted Melody,1955,Nominee
Elizabeth Taylor,Butterfield 8,1960,Winner
Elizabeth Taylor,Cat On A Hot Tin Roof,1958,Nominee
Elizabeth Taylor,Raintree County,1957,Nominee
Elizabeth Taylor,"Suddenly, Last Summer",1959,Nominee
Elizabeth Taylor,Who'S Afraid Of Virginia Woolf?,1966,Winner
Ellen Burstyn,Alice Doesn'T Live Here Anymore,1974,Winner
Ellen Burstyn,Requiem For A Dream,2000,Nominee
Ellen Burstyn,Resurrection,1980,Nominee
Ellen Burstyn,"Same Time, Next Year",1978,Nominee
Ellen Burstyn,The Exorcist,1973,Nominee
Ellen Burstyn,The Last Picture Show,1971,Nominee
Elsa Lanchester,Come To The Stable,1949,Nominee
Elsa Lanchester,Witness For The Prosecution,1957,Nominee
Emily Watson,Breaking The Waves,1996,Nominee
Emily Watson,Hilary And Jackie,1998,Nominee
Emma Stone,Birdman,2014,Nominee
Emma Stone,La La Land,2016,Winner
Emma Stone,The Favourite,2018,Nominee
Emma Thompson,Howards End,1992,Winner
Emma Thompson,In The Name Of The Father,1993,Nominee
Emma Thompson,Sense And Sensibility,1995,Nominee
Emma Thompson,The Remains Of The Day,1993,Nominee
Estelle Parsons,Bonnie And Clyde,1967,Nominee
Estelle Parsons,"Rachel, Rachel",1968,Nominee
Ethan Hawke,Boyhood,2014,Nominee
Ethan Hawke,Training Day,2001,Nominee
Ethel Barrymore,None But The Lonely Heart,1944,Winner
Ethel Barrymore,Pinky,1949,Nominee
Ethel Barrymore,The Paradine Case,1947,Nominee
Ethel Barrymore,The Spiral Staircase,1946,Nominee
Fay Bainter,Jezebel,1938,Winner
Fay Bainter,The Children'S Hour,1961,Nominee
Fay Bainter,White Banners,1938,Nominee
Faye Dunaway,Bonnie And Clyde,1967,Nominee
Faye Dunaway,Chinatown,1974,Nominee
Faye Dunaway,Network,1976,Winner
Frances McDormand,Almost Famous,2000,Nominee
Frances McDormand,Fargo,1996,Nominee
Frances McDormand,"Fargo,",1996,Winner
Frances McDormand,Mississippi Burning,1988,Nominee
Frances McDormand,Nomadland,2020,Winner
