nconst,primaryName,birthYear,deathYear,primaryName_clean
nm0001173,Aaron Eckhart,1968,,aaron eckhart
nm1093951,Aaron Taylor-Johnson,1990,,aaron taylor johnson
nm1113550,Abigail Breslin,1996,,abigail breslin
nm3485845,Adam Driver,1983,,adam driver
nm0001191,Adam Sandler,1966,,adam sandler
nm0015382,Adewale Akinnuoye-Agbaje,1967,,adewale akinnuoye agbaje
nm0128360,Adolph Caesar,1933,1986,adolph caesar
nm0579663,Adolphe Menjou,1890,1963,adolphe menjou
nm0056770,Adriana Barraza,1956,,adriana barraza
nm0004778,Adrien Brody,1973,,adrien brody
nm0001547,Agnes Moorehead,1900,1974,agnes moorehead
nm0848667,Akim Tamiroff,1899,1972,akim tamiroff
nm0000199,Al Pacino,1940,,al pacino
nm0000257,Alan Alda,1936,,alan alda
nm0000273,Alan Arkin,1934,,alan arkin
nm0000869,Alan Bates,1934,2003,alan bates
nm0000614,Alan Rickman,1946,2016,alan rickman
nm0876138,Alan Tudyk,1971,,alan tudyk
nm0060168,Albert Bassermann,1867,1952,albert bassermann
nm0000983,Albert Brooks,1947,,albert brooks
nm0001215,Albert Finney,1936,2019,albert finney
nm0000285,Alec Baldwin,1958,,alec baldwin
nm0000027,Alec Guinness,1914,2000,alec guinness
nm0461594,Alexander Knox,1907,1995,alexander knox
nm1573253,Alexander Ludwig,1992,,alexander ludwig
nm0005569,Alfre Woodard,1952,,alfre woodard
nm0526795,Alfred Lunt,1892,1977,alfred lunt
nm0532298,Ali MacGraw,1939,,ali macgraw
nm0103567,Alice Brady,1892,1939,alice brady
nm2539953,Alicia Vikander,1988,,alicia vikander
nm0001860,Alicia Witt,1975,,alicia witt
nm0533956,Aline MacMahon,1899,1991,aline macmahon
nm0005049,Allison Janney,1959,,allison janney
nm0004989,Alyson Hannigan,1974,,alyson hannigan
nm1086543,Amanda Seyfried,1985,,amanda seyfried
nm0000821,Amitabh Bachchan,1942,,amitabh bachchan
nm0010736,Amy Adams,1974,,amy adams
nm0001388,Amy Irving,1953,,amy irving
nm0001496,Amy Madigan,1950,,amy madigan
nm0688132,Amy Poehler,1971,,amy poehler
nm0752407,Amy Ryan,1968,,amy ryan
nm1869101,Ana de Armas,1988,,ana de armas
nm7363531,Andra Day,1984,,andra day
nm0498571,Andrea Leeds,1914,1984,andrea leeds
nm1940449,Andrew Garfield,1983,,andrew garfield
nm0795576,Andrew Shue,1967,,andrew shue
nm0000412,Andy Garcia,1956,,andy garcia
nm0490489,Andy Lau,1961,,andy lau
nm1676221,Andy Samberg,1978,,andy samberg
nm0785227,Andy Serkis,1964,,andy serkis
nm0000291,Angela Bassett,1958,,angela bassett
nm0001450,Angela Lansbury,1925,,angela lansbury
nm0001401,Angelina Jolie,1975,,angelina jolie
nm0001378,Anjelica Huston,1951,,anjelica huston
nm0001955,Ann Blyth,1928,,ann blyth
nm0362267,Ann Harding,1902,1981,ann harding
nm0000268,Ann-Margret,1941,,ann margret
