actorId,filmTitle,filmYear,genres,averageRating,numVotes
nm0000859,The Little Colonel,1935,"Comedy,Family,Musical",7.0,1711
nm0000017,Three Loves,1929,Drama,6.7,257
nm0642988,Sin Town,1929,Western,,
nm0001932,Weary River,1929,Drama,6.1,492
nm0173993,Weary River,1929,Drama,6.1,492
nm0606431,Alibi,1929,"Action,Crime,Romance",5.7,813
nm0062828,Behind That Curtain,1929,"Adventure,Crime,Mystery",4.8,493
nm0417837,Betrayal,1929,Drama,5.7,38
nm0000011,Betrayal,1929,Drama,5.7,38
nm0001479,Big News,1929,"Comedy,Crime,Mystery",5.4,273
nm0870543,Big Time,1929,Drama,7.2,71
nm0572142,The Black Watch,1929,"Adventure,Drama",5.7,386
nm0021329,Blackmail,1929,"Crime,Thriller",6.9,10712
nm0173993,Blaze o' Glory,1929,"Crime,Musical,War",,
nm0522281,The Broadway Melody,1929,"Drama,Musical,Romance",5.6,7244
nm0172903,Bulldog Drummond,1929,"Crime,Drama,Mystery",6.4,1067
nm0000795,The Canary Murder Case,1929,Mystery,5.9,708
nm0000964,Le capitaine Fracasse,1929,"Adventure,Drama",6.6,202
nm0572142,Captain Lash,1929,"Adventure,Drama",,
nm0154183,Charming Sinners,1929,"Drama,Romance",6.2,87
nm0000891,Chinatown Nights,1929,"Action,Crime,Drama",6.1,123
nm0310980,Christina,1929,Drama,5.6,13
nm0642988,Close Harmony,1929,"Musical,Romance",6.7,47
nm0000024,The Clue of the New Pin,1929,"Crime,Mystery",5.6,11
nm0572142,The Cock-Eyed World,1929,"Comedy,Musical",5.8,83
nm0172903,Condemned!,1929,Drama,6.4,436
nm0362267,Condemned!,1929,Drama,6.4,436
nm0681933,Coquette,1929,"Drama,Romance",5.6,2191
nm0002183,Disraeli,1929,"Biography,Drama,History",6.1,1222
nm0154183,The Doctor's Secret,1929,Drama,6.0,12
nm0001932,Drag,1929,Drama,6.7,60
nm0001076,The Duke Steps Out,1929,"Comedy,Drama,Romance",3.7,211
nm0154183,The Dummy,1929,Mystery,7.0,24
nm0545298,The Dummy,1929,Mystery,7.0,24
nm0001948,Dynamite,1929,Drama,7.0,437
nm0579663,Fashions in Love,1929,"Comedy,Drama,Musical",,
nm0642988,Fast Company,1929,"Comedy,Sport",7.1,21
nm0949835,Fast Life,1929,"Crime,Drama,Romance",5.9,46
nm0606431,Fast Life,1929,"Crime,Drama,Romance",5.9,46
nm0001537,The Flying Scotsman,1929,"Crime,Drama",6.1,161
nm0545298,Footlights and Fools,1929,"Drama,Musical",7.4,18
nm0949835,The Forward Pass,1929,"Drama,Romance,Sport",5.3,97
nm0074949,Miss Else,1929,Drama,6.9,164
nm0060168,Miss Else,1929,Drama,6.9,164
nm0000017,Nights of Love,1930,Comedy,6.4,43
nm0404158,Gentlemen of the Press,1929,Drama,6.7,93
nm0949835,The Girl in the Glass Cage,1929,Drama,6.0,44
nm0522281,The Girl in the Show,1929,Comedy,5.4,139
nm0002233,The Great Gabbo,1929,"Drama,Musical,Romance",6.0,902
nm0173993,The Great Gabbo,1929,"Drama,Musical,Romance",6.0,902
nm0000795,The Greene Murder Case,1929,Mystery,6.4,387
nm0000795,Half Way to Heaven,1929,"Drama,Romance",6.7,62
nm0510134,Half Way to Heaven,1929,"Drama,Romance",6.7,62
nm0001948,Hell's Heroes,1929,Western,7.2,802
nm0362267,Her Private Affair,1929,"Crime,Drama,Romance",5.1,145
nm0682074,Her Private Life,1929,"Drama,Romance",,
nm0001479,High Voltage,1929,Drama,5.3,372
nm0001055,The Hole in the Wall,1929,"Drama,Mystery",5.7,196
nm0572142,Hot for Paris,1929,"Comedy,Musical",5.8,17
nm0000017,I Kiss Your Hand Madame,1929,Drama,6.1,164
nm0522281,The Idle Rich,1929,Comedy,5.8,140
nm0002001,Innocents of Paris,1929,"Musical,Romance",7.6,44
nm0247074,Jealousy,1929,Drama,,
nm0545298,Jealousy,1929,Drama,,
nm0001256,The Kiss,1929,"Drama,Romance",6.8,1137
nm0404158,The Lady Lies,1929,"Drama,Romance",6.8,101
nm0001055,The Lady Lies,1929,"Drama,Romance",6.8,101
nm0001537,The Lady from the Sea,1929,Romance,6.8,27
nm0790454,The Last of Mrs. Cheyney,1929,"Comedy,Drama",6.1,527
nm0001651,The Last of Mrs. Cheyney,1929,"Comedy,Drama",6.1,527
nm0154183,The Laughing Lady,1929,Drama,6.6,53
nm0247074,The Letter,1929,Drama,6.7,715
nm0062828,Linda,1929,Drama,6.7,127
nm0001766,The Locked Door,1929,"Drama,Mystery,Thriller",6.1,524
nm0228715,The Love Doctor,1929,"Comedy,Romance",,
nm0002001,The Love Parade,1929,"Comedy,Musical,Romance",7.0,2341
nm0310980,Lucky Star,1929,"Drama,Romance",7.7,1358
nm0832011,Madame X,1929,Drama,5.6,504
nm0154183,Madame X,1929,Drama,5.6,504
nm0237571,Madonna of Avenue A,1929,Drama,5.3,59
nm0579663,Marquis Preferred,1929,Comedy,,
nm0545298,The Marriage Playground,1929,"Drama,Romance",6.2,91
nm0001766,Mexicali Rose,1929,"Drama,Romance",5.7,206
nm0771584,The Mississippi Gambler,1929,"Drama,Music,Romance",5.8,14
nm0682074,A Most Immoral Lady,1929,"Crime,Drama,Romance",,
nm0002046,Mother's Boy,1929,"Drama,Musical",5.6,15
