tconst,averageRating,numVotes
tt0016029,7.0,1711
tt0018588,6.7,257
tt0018908,7.0,306
tt0019557,6.1,492
tt0019630,5.7,813
tt0019684,4.8,493
tt0019687,5.7,38
tt0019690,5.4,273
tt0019693,7.2,71
tt0019699,5.7,386
tt0019702,6.9,10712
tt0019729,5.6,7244
tt0019735,6.4,1067
tt0019745,5.9,708
tt0019746,6.6,202
tt0019758,6.2,87
tt0019765,6.1,123
tt0019767,5.6,13
tt0019774,6.7,47
tt0019775,5.6,11
tt0019776,5.8,83
tt0019785,6.4,436
tt0019788,5.6,2191
tt0019798,6.8,321
tt0019823,6.1,1222
tt0019827,6.0,12
tt0019833,6.7,60
tt0019839,3.7,211
tt0019840,7.0,24
tt0019843,7.0,437
tt0019871,7.1,21
tt0019872,5.9,46
tt0019889,6.1,161
tt0019892,7.4,18
tt0019895,5.3,97
tt0019909,6.9,164
tt0019918,6.4,43
tt0019920,6.7,93
tt0019928,6.0,44
tt0019929,5.4,139
tt0019946,6.0,902
tt0019949,6.4,387
tt0019958,6.7,62
tt0019976,7.2,802
tt0019979,5.1,145
tt0019983,5.3,372
tt0019992,5.7,196
tt0020001,5.8,17
tt0020011,6.1,164
tt0020014,5.8,140
tt0020016,7.2,35
tt0020026,7.6,44
tt0020062,6.8,1137
tt0020072,6.8,101
tt0020073,6.8,27
tt0020081,6.1,527
tt0020082,6.6,53
tt0020092,6.7,715
tt0020099,6.7,127
tt0020103,6.1,524
tt0020112,7.0,2341
tt0020122,7.7,1358
tt0020126,5.6,504
tt0020128,5.3,59
tt0020146,6.2,91
tt0020166,5.7,206
tt0020174,5.8,14
tt0020187,5.6,15
tt0020197,6.2,278
tt0020198,6.1,660
tt0020205,6.3,41
tt0020216,5.8,11
tt0020227,6.5,80
tt0020234,5.5,57
tt0020238,5.9,333
tt0020247,6.2,876
tt0020253,6.9,394
tt0020258,5.7,131
tt0020278,5.7,128
tt0020291,6.9,32
tt0020298,7.1,3258
tt0020305,5.4,415
tt0020320,6.8,200
tt0020323,7.2,28
tt0020336,5.9,246
tt0020364,5.9,260
tt0020365,5.9,33
tt0020371,6.5,118
tt0020387,7.8,66
tt0020388,6.1,362
tt0020395,5.0,16
tt0020402,6.2,286
tt0020408,5.6,19
tt0020410,6.7,597
tt0020415,7.5,23
tt0020425,5.4,247
tt0020434,6.1,21
tt0020437,7.2,14
tt0020446,4.7,410
tt0020448,5.9,14
tt0020458,6.2,428
tt0020459,4.8,51
tt0020461,5.5,169
tt0020466,6.6,422
tt0020469,6.6,82
tt0020479,6.2,591
tt0020488,5.8,694
tt0020492,5.8,644
tt0020497,6.1,65
tt0020499,6.5,704
tt0020504,5.8,12
tt0020513,6.9,66
tt0020514,6.5,1353
tt0020516,6.5,141
tt0020534,5.7,322
tt0020538,5.4,633
tt0020542,5.3,249
tt0020543,6.0,441
tt0020556,6.8,774
tt0020577,6.5,19
tt0020589,6.6,694
tt0020590,6.2,487
tt0020595,6.6,113
tt0020596,6.7,48
tt0020599,5.8,70
tt0020602,6.5,106
tt0020603,5.9,73
tt0020619,6.7,32
tt0020620,5.7,1541
tt0020629,8.1,61134
tt0020634,5.9,22
tt0020635,6.1,95
tt0020641,6.6,3183
tt0020642,7.0,896
tt0020645,6.5,127
tt0020649,5.9,84
tt0020661,5.0,158
tt0020662,6.4,32
tt0020668,6.4,1013
tt0020677,6.0,142
tt0020679,6.1,384
tt0020686,7.1,2270
tt0020688,5.9,17
tt0020690,5.7,278
tt0020691,7.1,3833
tt0020693,6.0,421
tt0020695,6.1,686
tt0020697,7.7,15071
tt0020704,7.3,15
tt0020712,5.8,33
tt0020715,6.0,67
tt0020744,7.2,48
tt0020746,5.6,53
tt0020749,6.5,13
tt0020773,6.6,29
tt0020780,5.2,69
tt0020781,6.6,58
tt0020785,5.2,153
tt0020801,6.8,22
tt0020806,6.1,537
tt0020809,5.0,71
tt0020810,5.7,121
tt0020815,7.2,1853
tt0020819,6.2,61
tt0020821,6.6,715
tt0020822,6.9,85
tt0020823,6.0,202
tt0020827,6.7,3190
tt0020836,6.5,1128
tt0020843,6.4,57
tt0020848,5.2,18
tt0020850,6.3,55
tt0020873,6.2,245
tt0020875,6.6,590
tt0020890,6.1,245
tt0020894,6.7,239
tt0020895,5.7,122
tt0020896,6.4,517
tt0020900,6.1,247
tt0020902,5.5,910
tt0020919,5.2,853
tt0020921,6.0,29
tt0020924,5.8,201
tt0020929,6.3,356
tt0020935,5.8,27
tt0020938,5.4,403
tt0020942,5.1,124
tt0020949,5.7,170
tt0020966,6.5,426
tt0020973,7.1,28
tt0020977,7.3,22
tt0020982,7.7,47
tt0020985,6.4,535
tt0020986,6.1,79
tt0020991,7.2,28
tt0021001,5.4,144
tt0021003,6.6,31
tt0021015,4.6,2341
tt0021029,6.0,74
tt0021037,6.1,112
tt0021040,6.7,1238
tt0021041,6.8,31
tt0021042,5.9,194
tt0021045,5.3,109
tt0021048,5.4,159
tt0021053,6.3,355
tt0021057,6.7,43
tt0021060,6.3,538
tt0021061,5.9,146
tt0021067,6.4,41
tt0021071,6.3,51
tt0021073,5.8,80
tt0021087,6.0,431
tt0021100,5.4,205
tt0021102,6.3,143
tt0021106,6.4,1054
tt0021107,5.6,9
tt0021110,6.0,212
tt0021112,6.5,79
tt0021115,6.6,86
tt0021121,6.5,240
tt0021132,5.7,244
tt0021144,6.9,106
tt0021147,6.7,61
tt0021148,6.8,1760
tt0021152,4.8,579
tt0021156,7.0,6767
tt0021178,6.0,180
tt0021183,6.8,36
tt0021191,5.3,291
tt0021197,6.2,452
tt0021203,5.7,106
tt0021217,5.6,442
tt0021218,5.7,42
tt0021219,6.6,99
tt0021223,6.2,797
tt0021225,6.5,513
tt0021228,6.3,770
tt0021232,5.8,322
tt0021240,6.0,381
tt0021261,6.1,89
tt0021263,6.0,266
tt0021276,5.6,163
tt0021279,6.2,122
tt0021281,6.4,955
tt0021295,5.3,294
tt0021297,5.9,218
tt0021301,6.0,44
tt0021303,5.7,150
tt0021304,5.7,191
tt0021307,5.6,182
tt0021310,5.8,896
tt0021322,6.2,368
tt0021324,5.0,280
tt0021327,5.5,136
tt0021334,6.0,97
tt0021335,5.4,265
tt0021342,5.3,74
tt0021345,5.3,276
tt0021347,5.9,31
tt0021351,6.5,52
tt0021354,5.6,18
tt0021355,6.8,41
tt0021357,6.5,130
tt0021359,6.3,128
tt0021360,5.9,25
tt0021361,6.7,19
tt0021369,6.1,81
tt0021374,5.8,508
tt0021376,5.5,278
tt0021377,6.1,593
tt0021381,6.3,653
tt0021382,6.2,264
tt0021396,5.6,42
tt0021400,5.9,198
tt0021412,7.1,84
tt0021420,6.6,273
tt0021422,5.1,131
tt0021432,6.0,91
tt0021439,5.1,141
tt0021458,7.0,35
tt0021463,6.5,189
tt0021464,5.3,251
tt0021468,6.5,20
tt0021471,6.9,40
tt0021472,5.8,256
tt0021492,6.4,141
tt0021493,5.6,343
tt0021508,5.9,1243
tt0021522,7.0,93
tt0021525,5.6,234
tt0021531,6.1,330
tt0021534,5.8,608
tt0021538,6.6,16
tt0021545,5.7,61
tt0021557,5.3,124
tt0021567,5.9,45
tt0021568,6.1,190
tt0021578,7.5,15
tt0021580,6.3,314
tt0021595,5.9,259
tt0021604,6.0,15
tt0021606,6.1,159
tt0021607,6.5,828
tt0021610,5.9,32
tt0021616,6.6,67
tt0021622,6.2,1748
tt0021632,6.2,404
tt0021633,6.4,1152
tt0021635,6.5,1365
tt0021636,6.2,1327
tt0021641,5.8,46
tt0021649,6.1,485
tt0021656,5.7,90
tt0021657,5.9,341
tt0021659,5.8,171
tt0021673,7.1,1979
tt0021680,6.7,117
tt0021717,4.8,8
tt0021723,6.4,34
tt0021726,5.7,77
tt0021730,7.3,3183
tt0021746,5.9,6195
tt0021748,6.8,92
tt0021750,7.0,1638
tt0021758,5.9,104
tt0021761,6.1,472
tt0021764,5.7,253
tt0021768,6.1,370
tt0021770,7.0,1170
tt0021772,5.6,212
tt0021775,5.8,144
tt0021778,6.3,1079
tt0021785,5.8,520
tt0021793,5.8,232
tt0021798,6.2,236
tt0021800,7.2,2686
tt0021804,5.6,67
tt0021807,6.2,158
tt0021818,7.3,2276
tt0021821,5.3,56
tt0021825,6.2,523
tt0021826,5.8,227
tt0021828,5.5,221
tt0021841,3.9,42
tt0021850,5.2,15
tt0021861,5.7,637
tt0021865,5.9,454
tt0021868,5.9,73
tt0021874,6.4,1369
tt0021885,6.6,2636
tt0021889,5.5,374
tt0021890,6.7,2946
tt0021898,5.9,75
tt0021900,5.0,176
tt0021911,6.0,108
tt0021917,5.1,407
tt0021920,5.5,140
tt0021923,4.9,44
tt0021927,5.7,211
tt0021931,6.5,546
tt0021933,6.9,892
tt0021947,5.2,29
tt0021961,6.6,77
tt0021963,5.7,195
tt0021966,5.3,284
tt0021969,6.7,315
tt0021973,5.7,221
tt0021978,7.0,211
tt0021986,5.3,255
tt0021988,6.1,196
tt0021992,6.1,1040
tt0021993,5.9,14
tt0022000,6.2,1457
tt0022001,6.3,574
tt0022002,5.9,305
tt0022006,5.3,136
tt0022007,8.3,74
tt0022015,5.7,42
tt0022026,5.3,336
tt0022029,5.6,196
tt0022042,6.4,130
tt0022043,5.7,282
tt0022046,6.0,355
tt0022054,6.9,1341
tt0022056,5.5,257
