tconst,nconst
tt0016029,nm0000859
tt0018588,nm0000017
tt0018908,nm0001635
tt0019386,nm0642988
tt0019557,nm0001932
tt0019557,nm0173993
tt0019557,nm0390279
tt0019630,nm0606431
tt0019684,nm0062828
tt0019687,nm0417837
tt0019687,nm0000011
tt0019690,nm0001479
tt0019693,nm0870543
tt0019699,nm0572142
tt0019702,nm0021329
tt0019703,nm0173993
tt0019729,nm0522281
tt0019735,nm0172903
tt0019745,nm0001635
tt0019745,nm0000795
tt0019746,nm0000964
tt0019748,nm0572142
tt0019758,nm0154183
tt0019758,nm0001635
tt0019765,nm0000891
tt0019767,nm0310980
tt0019774,nm0007216
tt0019774,nm0642988
tt0019775,nm0000024
tt0019776,nm0572142
tt0019785,nm0172903
tt0019785,nm0362267
tt0019788,nm0681933
tt0019798,nm0007216
tt0019823,nm0002183
tt0019827,nm0154183
tt0019833,nm0001932
tt0019839,nm0001076
tt0019840,nm0154183
tt0019840,nm0545298
tt0019843,nm0001948
tt0019870,nm0579663
tt0019871,nm0642988
tt0019872,nm0949835
tt0019872,nm0606431
tt0019872,nm0390279
tt0019889,nm0001537
tt0019892,nm0545298
tt0019895,nm0949835
tt0019909,nm0074949
tt0019909,nm0060168
tt0019918,nm0000017
tt0019920,nm0404158
tt0019928,nm0949835
tt0019929,nm0522281
tt0019946,nm0002233
tt0019946,nm0173993
tt0019949,nm0001635
tt0019949,nm0000795
tt0019958,nm0000795
tt0019958,nm0510134
tt0019961,nm0415591
tt0019976,nm0001948
tt0019979,nm0362267
tt0019980,nm0682074
tt0019983,nm0001479
tt0019992,nm0001055
tt0020001,nm0572142
tt0020011,nm0000017
tt0020014,nm0522281
tt0020016,nm0007216
tt0020026,nm0002001
tt0020043,nm0247074
tt0020043,nm0545298
tt0020062,nm0001256
tt0020072,nm0404158
tt0020072,nm0001055
tt0020073,nm0001537
tt0020081,nm0790454
tt0020081,nm0001651
tt0020082,nm0154183
tt0020092,nm0247074
tt0020099,nm0062828
tt0020103,nm0001766
tt0020111,nm0228715
tt0020112,nm0002001
tt0020122,nm0310980
tt0020126,nm0832011
tt0020126,nm0154183
tt0020128,nm0237571
tt0020145,nm0579663
tt0020146,nm0545298
tt0020166,nm0001766
tt0020174,nm0771584
tt0020186,nm0682074
tt0020187,nm0002046
tt0020197,nm0000795
tt0020198,nm0000859
tt0020205,nm0060168
tt0020207,nm0155011
tt0020216,nm0000802
tt0020226,nm0237571
tt0020227,nm0228715
tt0020234,nm0322299
tt0020238,nm0173993
tt0020247,nm0001076
tt0020253,nm0187981
tt0020258,nm0362267
tt0020258,nm0545298
tt0020278,nm0001635
tt0020291,nm0341464
tt0020298,nm0841797
tt0020305,nm0001479
tt0020320,nm0228715
tt0020323,nm0172903
tt0020336,nm0522281
tt0020340,nm0062828
tt0020364,nm0000795
tt0020364,nm0646829
tt0020365,nm0341464
tt0020371,nm0000017
tt0020387,nm0612847
tt0020388,nm0228715
tt0020395,nm0322299
tt0020402,nm0771584
tt0020408,nm0007216
tt0020410,nm0001256
tt0020415,nm0173993
tt0020425,nm0599910
tt0020434,nm0000781
tt0020437,nm0001948
tt0020446,nm0949835
tt0020448,nm0000891
tt0020448,nm0000795
tt0020458,nm0173993
tt0020458,nm0642988
tt0020459,nm0572142
tt0020461,nm0545298
tt0020466,nm0310980
tt0020469,nm0007216
tt0020469,nm0642988
tt0020479,nm0681933
tt0020488,nm0790454
tt0020488,nm0832011
tt0020488,nm0599910
tt0020492,nm0943618
tt0020497,nm0062828
tt0020499,nm0051628
tt0020504,nm0173993
tt0020513,nm0187981
tt0020514,nm0841797
tt0020516,nm0790454
tt0020516,nm0832011
tt0020517,nm0155011
tt0020534,nm0950019
tt0020538,nm0001076
tt0020538,nm0599910
tt0020542,nm0237597
tt0020543,nm0612847
tt0020556,nm0000011
tt0020556,nm0404158
tt0020559,nm0682074
tt0020577,nm0228715
tt0020589,nm0001256
tt0020589,nm0832011
tt0020590,nm0545298
tt0020595,nm0000011
tt0020596,nm0051628
tt0020596,nm0007216
tt0020596,nm0510134
tt0020599,nm0606431
tt0020600,nm0000802
tt0020600,nm0415591
tt0020602,nm0173993
tt0020603,nm0832011
tt0020603,nm0939931
tt0020612,nm0001932
tt0020619,nm0060168
tt0020620,nm0404158
tt0020620,nm0580916
tt0020629,nm0000817
tt0020634,nm0260020
tt0020635,nm0060168
tt0020641,nm0001256
tt0020641,nm0001948
tt0020641,nm0237597
tt0020642,nm0001256
tt0020645,nm0154183
tt0020645,nm0510134
tt0020649,nm0062828
tt0020649,nm0001479
tt0020661,nm0341464
tt0020662,nm0404158
tt0020668,nm0606431
tt0020668,nm0580916
tt0020677,nm0001635
tt0020679,nm0001635
tt0020679,nm0510134
tt0020686,nm0606431
tt0020686,nm0000891
tt0020686,nm0832011
tt0020686,nm0599910
tt0020688,nm0322299
tt0020690,nm0002001
tt0020690,nm0001055
tt0020691,nm0000078
tt0020693,nm0000891
tt0020695,nm0001651
tt0020695,nm0950019
tt0020697,nm0417837
tt0020697,nm0000017
tt0020704,nm0173993
tt0020712,nm0682074
tt0020715,nm0949835
tt0020744,nm0606431
tt0020744,nm0173993
tt0020746,nm0045968
tt0020749,nm0237597
tt0020773,nm0771584
tt0020780,nm0580916
tt0020781,nm0000817
tt0020785,nm0522281
tt0020801,nm0173993
tt0020806,nm0000795
tt0020809,nm0260020
tt0020810,nm0007216
tt0020815,nm0001932
tt0020819,nm0051628
tt0020821,nm0172903
tt0020821,nm0949835
tt0020822,nm0572142
tt0020822,nm0000007
tt0020823,nm0007216
tt0020827,nm0790454
tt0020827,nm0599910
tt0020827,nm0606431
tt0020836,nm0000817
tt0020836,nm0000010
tt0020843,nm0060168
tt0020848,nm0322299
tt0020850,nm0000817
tt0020873,nm0394244
tt0020873,nm0001479
tt0020873,nm0604656
tt0020875,nm0000012
tt0020890,nm0001651
tt0020894,nm0007216
tt0020895,nm0943956
tt0020895,nm0001677
tt0020896,nm0001635
tt0020900,nm0390279
tt0020902,nm0599910
tt0020919,nm0237597
tt0020921,nm0362267
tt0020924,nm0682074
tt0020929,nm0522281
tt0020935,nm0002001
tt0020935,nm0001055
tt0020938,nm0002183
tt0020942,nm0510134
tt0020949,nm0260020
tt0020966,nm0708081
tt0020966,nm0322299
tt0020973,nm0310980
tt0020977,nm0642988
tt0020982,nm0393028
tt0020985,nm0362267
tt0020985,nm0000802
tt0020986,nm0007216
tt0020991,nm0719733
tt0021001,nm0173993
tt0021003,nm0173993
tt0021015,nm0021329
tt0021015,nm0280178
tt0021029,nm0949835
tt0021037,nm0051628
tt0021037,nm0000802
tt0021037,nm0545298
tt0021040,nm0001766
tt0021041,nm0001651
tt0021042,nm0154183
tt0021042,nm0001651
tt0021045,nm0601254
tt0021045,nm0000891
tt0021048,nm0001932
tt0021048,nm0000802
tt0021053,nm0007216
tt0021053,nm0545298
tt0021053,nm0604656
tt0021057,nm0002050
tt0021060,nm0790454
tt0021060,nm0237597
tt0021061,nm0642988
tt0021067,nm0417837
tt0021071,nm0237571
tt0021073,nm0341464
tt0021087,nm0949835
tt0021100,nm0599910
tt0021102,nm0228715
tt0021106,nm0950019
tt0021107,nm0000731
tt0021110,nm0237571
tt0021112,nm0000011
tt0021115,nm0949835
tt0021121,nm0001055
tt0021121,nm0545298
tt0021132,nm0322299
tt0021144,nm0173993
tt0021147,nm0051628
tt0021148,nm0237597
tt0021148,nm0000891
tt0021148,nm0708081
tt0021152,nm0001076
tt0021156,nm0000011
tt0021156,nm0000017
tt0021156,nm0579663
tt0021178,nm0862546
tt0021178,nm0601254
tt0021178,nm0579663
tt0021178,nm0950019
tt0021183,nm0771584
tt0021191,nm0001651
tt0021197,nm0832011
tt0021203,nm0002183
tt0021209,nm0572142
tt0021217,nm0001273
tt0021217,nm0237597
tt0021218,nm0260020
tt0021219,nm0000011
tt0021223,nm0001076
tt0021223,nm0599910
tt0021225,nm0001366
tt0021228,nm0001076
tt0021232,nm0000795
tt0021232,nm0002001
tt0021232,nm0000011
tt0021235,nm0579663
tt0021240,nm0001948
tt0021261,nm0002001
tt0021261,nm0260020
tt0021263,nm0606431
tt0021276,nm0322299
tt0021279,nm0604656
tt0021279,nm0001677
tt0021281,nm0172903
tt0021295,nm0062828
tt0021297,nm0000795
tt0021301,nm0154183
tt0021301,nm0510134
tt0021303,nm0001948
tt0021304,nm0949835
tt0021307,nm0862546
tt0021310,nm0001256
tt0021310,nm0832011
tt0021322,nm0545298
tt0021324,nm0000802
tt0021327,nm0001479
tt0021334,nm0642988
tt0021334,nm0001677
tt0021335,nm0154183
tt0021335,nm0545298
tt0021342,nm0187981
tt0021345,nm0001948
tt0021347,nm0642988
tt0021350,nm0606431
tt0021351,nm0949835
tt0021354,nm0522281
tt0021355,nm0771584
tt0021357,nm0000011
tt0021359,nm0001635
tt0021360,nm0606431
tt0021361,nm0173993
tt0021361,nm0870543
tt0021369,nm0228715
tt0021374,nm0000795
tt0021376,nm0000802
tt0021377,nm0001651
tt0021381,nm0000010
tt0021381,nm0000951
tt0021382,nm0599910
tt0021396,nm0642988
tt0021400,nm0001932
tt0021412,nm0000011
tt0021412,nm0173993
tt0021420,nm0001635
tt0021420,nm0000795
tt0021422,nm0832011
tt0021432,nm0062828
tt0021439,nm0682074
tt0021444,nm0322299
tt0021458,nm0000059
tt0021463,nm0000011
tt0021464,nm0522281
tt0021468,nm0001651
tt0021468,nm0237571
tt0021471,nm0173993
tt0021472,nm0002233
tt0021472,nm0390279
tt0021473,nm0237571
tt0021492,nm0545298
tt0021493,nm0949835
tt0021508,nm0000075
tt0021508,nm0000007
tt0021522,nm0682074
tt0021525,nm0404158
tt0021531,nm0599910
tt0021534,nm0000891
tt0021538,nm0393028
tt0021545,nm0841797
tt0021557,nm0950019
tt0021558,nm0001452
tt0021567,nm0000795
tt0021567,nm0510134
tt0021567,nm0260020
tt0021568,nm0001055
tt0021568,nm0001677
tt0021578,nm0579663
tt0021578,nm0001055
tt0021580,nm0394244
tt0021595,nm0002183
tt0021604,nm0832011
tt0021606,nm0001537
tt0021607,nm0796662
tt0021610,nm0572142
tt0021610,nm0950019
tt0021616,nm0074949
tt0021622,nm0172903
tt0021632,nm0002050
tt0021633,nm0001537
tt0021635,nm0007223
tt0021636,nm0000012
tt0021641,nm0832011
tt0021649,nm0000802
