tconst,primaryTitle,startYear,genres
tt0016029,The Little Colonel,1935,"Comedy,Family,Musical"
tt0018588,Three Loves,1929,Drama
tt0018908,The Four Feathers,1929,"Adventure,Drama,Romance"
tt0019386,Sin Town,1929,Western
tt0019557,Weary River,1929,Drama
tt0019630,Alibi,1929,"Action,Crime,Romance"
tt0019684,Behind That Curtain,1929,"Adventure,Crime,Mystery"
tt0019687,Betrayal,1929,Drama
tt0019690,Big News,1929,"Comedy,Crime,Mystery"
tt0019693,Big Time,1929,Drama
tt0019699,The Black Watch,1929,"Adventure,Drama"
tt0019702,Blackmail,1929,"Crime,Thriller"
tt0019703,Blaze o' Glory,1929,"Crime,Musical,War"
tt0019729,The Broadway Melody,1929,"Drama,Musical,Romance"
tt0019735,Bulldog Drummond,1929,"Crime,Drama,Mystery"
tt0019745,The Canary Murder Case,1929,Mystery
tt0019746,Le capitaine Fracasse,1929,"Adventure,Drama"
tt0019748,Captain Lash,1929,"Adventure,Drama"
tt0019758,Charming Sinners,1929,"Drama,Romance"
tt0019765,Chinatown Nights,1929,"Action,Crime,Drama"
tt0019767,Christina,1929,Drama
tt0019774,Close Harmony,1929,"Musical,Romance"
tt0019775,The Clue of the New Pin,1929,"Crime,Mystery"
tt0019776,The Cock-Eyed World,1929,"Comedy,Musical"
tt0019785,Condemned!,1929,Drama
tt0019788,Coquette,1929,"Drama,Romance"
tt0019798,The Dance of Life,1929,Drama
tt0019823,Disraeli,1929,"Biography,Drama,History"
tt0019827,The Doctor's Secret,1929,Drama
tt0019833,Drag,1929,Drama
tt0019839,The Duke Steps Out,1929,"Comedy,Drama,Romance"
tt0019840,The Dummy,1929,Mystery
tt0019843,Dynamite,1929,Drama
tt0019870,Fashions in Love,1929,"Comedy,Drama,Musical"
tt0019871,Fast Company,1929,"Comedy,Sport"
tt0019872,Fast Life,1929,"Crime,Drama,Romance"
tt0019889,The Flying Scotsman,1929,"Crime,Drama"
tt0019892,Footlights and Fools,1929,"Drama,Musical"
tt0019895,The Forward Pass,1929,"Drama,Romance,Sport"
tt0019909,Miss Else,1929,Drama
tt0019918,Nights of Love,1930,Comedy
tt0019920,Gentlemen of the Press,1929,Drama
tt0019928,The Girl in the Glass Cage,1929,Drama
